Project;Release;Class;Size(LOC);LOC_Touched;NR;NFix;NAuth;LOC_Added;MAX_LOC_Added;AVG_LOC_Added;Churn;MAX_Churn;AVG_Churn;ChgSetSize;MAX_ChgSet;AVG_ChgSet;Age;Weighted_Age;Actual_Defective
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/model/GenericDataModel.java;234;261;10;0;1;235;187;39;234;187;23;660;234;66;36;0.13793103448275862;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/model/GenericItem.java;75;76;3;0;1;75;71;25;75;71;25;489;234;163;32;0.42105263157894735;NO
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/model/GenericPreference.java;86;101;3;0;1;92;87;46;86;87;28;374;234;124;32;0.31683168316831684;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/model/GenericPreferenceArray.java;90;90;1;0;1;90;90;90;90;90;90;2;2;2;0;0.0;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/model/GenericUser.java;111;120;6;0;1;111;101;27;111;101;18;561;234;93;32;0.26666666666666666;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/model/jdbc/AbstractJDBCDataModel.java;731;867;14;0;1;760;644;108;731;644;52;557;234;42;42;0.04844290657439446;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/model/jdbc/ConnectionPoolDataSource.java;136;140;3;0;1;136;122;45;136;122;45;394;234;131;32;0.22857142857142856;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/model/jdbc/GenericJDBCDataModel.java;124;127;2;0;1;124;122;62;124;122;62;143;136;71;3;0.023622047244094488;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/model/jdbc/MySQLJDBCDataModel.java;170;177;5;0;1;170;163;56;170;163;34;152;136;30;41;0.23163841807909605;NO
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/model/SettableUserPreference.java;38;38;1;0;1;38;38;38;38;38;38;320;148;64;0;0.0;NO
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/neighborhood/AbstractUserNeighborhood.java;76;92;7;0;1;76;64;19;76;64;10;604;234;86;32;0.34782608695652173;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/neighborhood/CachingUserNeighborhood.java;71;81;6;0;1;71;63;17;71;63;11;351;234;58;25;0.30864197530864196;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/neighborhood/NearestNUserNeighborhood.java;132;353;14;0;2;199;171;49;132;171;9;569;234;51;38;0.10764872521246459;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/neighborhood/ThresholdUserNeighborhood.java;109;200;11;0;2;128;127;64;109;127;9;532;234;53;37;0.185;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/recommender/AbstractRecommender.java;115;158;6;0;1;132;128;66;115;128;19;470;234;78;32;0.20253164556962025;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/recommender/BooleanUserGenericUserBasedRecommender.java;256;258;2;0;2;256;256;256;256;256;128;641;234;58;0;0.0;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/recommender/ByRescoreComparator.java;64;75;7;0;1;65;58;13;64;58;9;480;234;68;32;0.4266666666666667;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/recommender/CachingRecommender.java;239;331;10;0;1;250;207;41;239;207;23;531;234;59;42;0.1268882175226586;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/recommender/ClusterSimilarity.java;44;44;1;0;1;44;44;44;44;44;44;136;136;136;0;0.0;NO
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/recommender/FarthestNeighborClusterSimilarity.java;102;142;8;0;1;104;98;34;102;98;12;626;234;78;32;0.22535211267605634;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/recommender/GenericItemBasedRecommender.java;328;447;11;0;1;347;333;115;328;333;29;652;234;59;35;0.07829977628635347;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/recommender/GenericRecommendedItem.java;91;105;4;0;1;97;93;32;91;93;22;437;234;109;32;0.3047619047619048;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/recommender/GenericUserBasedRecommender.java;226;324;11;0;1;249;242;124;226;242;20;652;234;59;35;0.10802469135802469;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/recommender/ItemAverageRecommender.java;212;268;9;0;1;225;220;112;212;220;23;557;234;61;36;0.13432835820895522;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/recommender/ItemUserAverageRecommender.java;256;313;9;0;1;269;264;134;256;264;28;557;234;61;36;0.11501597444089456;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/recommender/NearestNeighborClusterSimilarity.java;102;140;8;0;1;104;98;34;102;98;12;626;234;78;32;0.22857142857142856;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/recommender/NullRescorer.java;75;75;2;0;1;75;73;37;75;73;37;370;234;185;32;0.4266666666666667;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/recommender/SimilarUser.java;72;73;3;0;2;72;71;36;72;71;24;264;234;132;6;0.0821917808219178;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/recommender/slopeone/InvertedRunningAverage.java;55;55;2;0;1;55;50;27;55;50;27;550;234;110;32;0.5818181818181818;NO
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/recommender/slopeone/InvertedRunningAverageAndStdDev.java;60;60;2;0;1;60;54;30;60;54;30;370;234;185;32;0.5333333333333333;NO
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/recommender/slopeone/jdbc/AbstractJDBCDiffStorage.java;351;486;9;0;1;379;363;126;351;363;39;577;234;64;43;0.08847736625514403;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/recommender/slopeone/jdbc/MySQLJDBCDiffStorage.java;128;204;6;1;1;155;154;77;128;154;21;147;136;36;41;0.20098039215686275;NO
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/recommender/slopeone/MemoryDiffStorage.java;329;479;15;0;1;355;297;39;329;297;21;612;234;43;43;0.08977035490605428;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/recommender/slopeone/SlopeOneRecommender.java;225;261;9;0;1;231;221;57;225;221;25;537;234;59;36;0.13793103448275862;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/recommender/TopItems.java;145;343;7;0;1;211;209;105;145;209;20;515;234;73;32;0.09329446064139942;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/recommender/TreeClusteringRecommender.java;437;546;12;0;1;448;431;112;437;431;36;632;234;52;42;0.07692307692307693;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/recommender/TreeClusteringRecommender2.java;520;717;13;0;1;528;507;88;520;507;40;659;234;50;42;0.058577405857740586;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/similarity/AbstractSimilarity.java;367;423;6;0;1;381;376;190;367;376;61;718;234;47;25;0.0591016548463357;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/similarity/AveragingPreferenceInferrer.java;85;88;4;0;1;85;82;42;85;82;21;713;234;71;18;0.20454545454545456;NO
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/similarity/BooleanTanimotoCoefficientSimilarity.java;89;106;2;0;1;94;94;94;89;94;44;11;7;5;1;0.009433962264150943;NO
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/similarity/CachingItemSimilarity.java;77;94;5;0;1;80;76;26;77;76;15;472;234;52;25;0.26595744680851063;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/similarity/CachingUserSimilarity.java;84;102;5;0;1;87;82;29;84;82;16;472;234;52;25;0.24509803921568626;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/similarity/EuclideanDistanceSimilarity.java;58;60;3;0;1;58;57;29;58;57;19;393;234;65;16;0.26666666666666666;NO
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/similarity/GenericItemSimilarity.java;313;390;5;0;1;313;281;104;313;281;62;639;234;71;16;0.041025641025641026;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/similarity/LogLikelihoodSimilarity.java;81;84;4;0;1;81;76;27;81;76;20;428;234;61;20;0.23809523809523808;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/similarity/PearsonCorrelationSimilarity.java;75;81;3;0;1;78;77;39;75;77;25;525;234;65;16;0.19753086419753085;NO
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/similarity/SpearmanCorrelationSimilarity.java;143;146;4;0;1;143;135;71;143;135;35;597;234;74;16;0.1095890410958904;NO
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/similarity/TanimotoCoefficientSimilarity.java;134;257;6;0;2;188;183;62;134;183;22;462;234;57;20;0.07782101167315175;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/transforms/CaseAmplification.java;72;80;5;0;1;72;67;24;72;67;14;506;234;101;32;0.4;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/transforms/Counters.java;60;94;3;0;1;72;71;36;60;71;20;270;136;90;24;0.2553191489361702;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/transforms/InverseUserFrequency.java;127;167;9;0;1;128;122;42;127;122;14;657;234;73;35;0.20958083832335328;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/transforms/ZScore.java;87;102;8;0;1;87;80;21;87;80;10;512;234;64;35;0.3431372549019608;NO
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/model/DataModel.java;115;117;3;0;1;115;106;57;115;106;38;156;136;52;36;0.3076923076923077;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/model/Item.java;39;39;1;0;1;39;39;39;39;39;39;316;148;79;0;0.0;NO
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/model/JDBCDataModel.java;35;35;1;0;1;35;35;35;35;35;35;316;148;79;0;0.0;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/model/Preference.java;50;50;1;0;1;50;50;50;50;50;50;316;148;79;0;0.0;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/model/PreferenceArray.java;42;42;1;0;1;42;42;42;42;42;42;318;148;63;0;0.0;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/model/User.java;53;53;1;0;1;53;53;53;53;53;53;136;136;136;0;0.0;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/neighborhood/UserNeighborhood.java;39;39;1;0;1;39;39;39;39;39;39;316;148;79;0;0.0;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/recommender/ClusteringRecommender.java;48;48;1;0;1;48;48;48;48;48;48;136;136;136;0;0.0;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/recommender/ItemBasedRecommender.java;92;94;2;0;1;92;92;92;92;92;46;166;136;83;26;0.2765957446808511;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/recommender/RecommendedItem.java;43;43;1;0;1;43;43;43;43;43;43;316;148;79;0;0.0;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/recommender/Recommender.java;83;83;1;0;1;83;83;83;83;83;83;136;136;136;0;0.0;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/recommender/Rescorer.java;46;47;2;0;2;46;42;23;46;42;23;136;136;136;25;0.5319148936170213;NO
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/recommender/slopeone/DiffStorage.java;84;84;1;0;1;84;84;84;84;84;84;136;136;136;0;0.0;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/recommender/UserBasedRecommender.java;48;49;2;0;1;48;48;48;48;48;24;166;136;83;26;0.5306122448979592;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/similarity/ItemSimilarity.java;44;50;2;0;1;44;44;44;44;44;22;217;136;72;8;0.16;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/similarity/PreferenceInferrer.java;42;42;1;0;1;42;42;42;42;42;42;195;136;97;0;0.0;NO
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/similarity/UserSimilarity.java;51;56;2;0;1;51;51;51;51;51;25;217;136;72;8;0.14285714285714285;NO
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/transforms/PreferenceTransform.java;34;35;2;0;1;34;34;34;34;34;17;171;136;57;23;0.6571428571428571;NO
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/transforms/SimilarityTransform.java;37;37;1;0;1;37;37;37;37;37;37;354;148;59;0;0.0;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/classifier/bayes/BayesClassifier.java;144;196;11;1;2;145;137;24;144;137;13;855;234;77;30;0.15306122448979592;NO
MAHOUT;1;core/src/main/java/org/apache/mahout/classifier/bayes/BayesDriver.java;127;202;5;0;2;129;126;64;127;126;25;672;234;134;18;0.0891089108910891;YES
