Project;Release;Class;Size(LOC);LOC_Touched;NR;NFix;NAuth;LOC_Added;MAX_LOC_Added;AVG_LOC_Added;Churn;MAX_Churn;AVG_Churn;ChgSetSize;MAX_ChgSet;AVG_ChgSet;Age;Weighted_Age;Actual_Defective
BOOKKEEPER;1;hedwig-server/src/test/java/org/apache/hedwig/server/persistence/StubScanCallback.java;48;55;2;0;2;48;48;48;48;48;24;378;207;189;22;0.4;NO
BOOKKEEPER;1;hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestBookKeeperPersistenceManagerBlackBox.java;76;79;2;0;2;76;76;76;76;76;38;378;207;189;22;0.27848101265822783;NO
BOOKKEEPER;1;hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestBookkeeperPersistenceManagerWhiteBox.java;129;131;2;0;2;129;129;129;129;129;64;378;207;189;22;0.16793893129770993;NO
BOOKKEEPER;1;hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestLocalDBPersistenceManagerBlackBox.java;53;53;1;0;1;53;53;53;53;53;53;207;207;207;0;0.0;NO
BOOKKEEPER;1;hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestPersistenceManagerBlackBox.java;306;311;3;0;2;306;305;153;306;305;102;471;207;157;33;0.10610932475884244;NO
BOOKKEEPER;1;hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestReadAheadCacheBlackBox.java;54;54;1;0;1;54;54;54;54;54;54;207;207;207;0;0.0;NO
BOOKKEEPER;1;hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestReadAheadCacheWhiteBox.java;268;277;2;0;2;268;268;268;268;268;134;378;207;189;22;0.07942238267148015;NO
BOOKKEEPER;1;hedwig-server/src/test/java/org/apache/hedwig/server/PubSubServerStandAloneTestBase.java;62;64;2;0;2;62;61;31;62;61;31;300;207;150;33;0.515625;NO
BOOKKEEPER;1;hedwig-server/src/test/java/org/apache/hedwig/server/subscriptions/StubSubscriptionManager.java;52;53;2;0;2;52;52;52;52;52;26;378;207;189;22;0.41509433962264153;NO
BOOKKEEPER;1;hedwig-server/src/test/java/org/apache/hedwig/server/subscriptions/TestZkSubscriptionManager.java;206;223;2;0;2;206;206;206;206;206;103;378;207;189;22;0.09865470852017937;NO
