Version,File Name,Size(LOC), LOC_Touched,NR,NFix,NAuth,LOC_Added,MAX_LOC_Added,AVG_LOC_Added,Churn,MAX_Churn,AVG_Churn,ChgSetSize,MAX_ChgSet,AVG_ChgSet,Age,Weighted_Age,Buggy
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieFailureTest.java,305,341,6,0,3,307,305,102,305,305,50,647,207,92,33,0,YES
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieJournalRollingTest.java,219,253,3,0,2,225,222,112,219,222,73,46,39,15,2,0,YES
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieReadWriteTest.java,1040,1246,10,0,3,1089,720,181,1040,720,104,666,207,60,33,0,YES
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieZKExpireTest.java,92,99,3,0,3,92,90,46,92,90,30,210,171,105,12,0,YES
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/CloseTest.java,75,83,3,0,2,75,74,37,75,74,25,583,207,145,33,0,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ConcurrentLedgerTest.java,188,203,6,0,3,188,178,47,188,178,31,664,207,94,34,0,YES
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ConditionalSetTest.java,118,122,3,0,2,118,116,39,118,116,39,140,93,46,4,0,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ConfigurationTest.java,55,55,1,0,1,55,55,55,55,55,55,39,39,39,0,0,YES
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/LedgerDeleteTest.java,154,187,4,0,3,164,163,82,154,163,38,622,207,124,33,0,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/LedgerRecoveryTest.java,114,129,4,0,3,114,88,38,114,88,28,585,207,117,33,0,YES
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/LoopbackClient.java,120,131,5,0,3,120,117,30,120,117,24,649,207,108,33,0,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/NIOServerFactoryTest.java,63,68,3,0,3,63,60,31,63,60,21,529,207,132,33,0,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/api/Client.java,42,42,1,0,1,42,42,42,42,42,42,407,207,135,0,0,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/api/MessageHandler.java,48,56,3,0,2,48,48,48,48,48,16,407,207,135,33,0,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/api/Publisher.java,63,67,2,0,2,63,63,63,63,63,31,378,207,189,22,0,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/api/Subscriber.java,237,257,2,0,2,237,237,237,237,237,118,378,207,189,22,0,YES
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkPublisher.java,133,139,3,0,2,133,133,133,133,133,44,407,207,135,33,0,YES
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkSubscriber.java,137,150,4,0,2,137,136,68,137,136,34,500,207,125,33,0,YES
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkUtils.java,177,181,3,0,2,177,176,88,177,176,59,471,207,157,33,0,YES
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkWorker.java,46,47,2,0,2,46,46,46,46,46,23,378,207,189,22,0,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/HedwigBenchmark.java,128,137,5,0,3,128,127,64,128,127,25,500,207,125,33,0,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/conf/ClientConfiguration.java,149,152,3,0,2,149,148,74,149,148,49,471,207,157,33,0,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/data/MessageConsumeData.java,58,59,2,0,2,58,58,58,58,58,29,378,207,189,22,0,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/data/PubSubData.java,149,152,2,0,2,149,149,149,149,149,74,378,207,189,22,0,YES
1,hedwig-client/src/main/java/org/apache/hedwig/client/data/TopicSubscriber.java,74,78,2,0,2,74,74,74,74,74,37,378,207,189,22,0,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/InvalidSubscriberIdException.java,37,37,1,0,1,37,37,37,37,37,37,207,207,207,0,0,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/ServerRedirectLoopException.java,38,40,2,0,2,38,38,38,38,38,19,378,207,189,22,0,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/TooManyServerRedirectsException.java,39,40,2,0,2,39,39,39,39,39,19,378,207,189,22,0,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/MessageConsumeCallback.java,96,107,4,0,2,96,95,48,96,95,24,500,207,125,33,0,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PublishResponseHandler.java,71,78,4,0,2,71,70,35,71,70,17,500,207,125,33,0,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PubSubCallback.java,88,91,3,0,2,88,87,44,88,87,29,471,207,157,33,0,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeReconnectCallback.java,114,123,4,0,2,114,113,57,114,113,28,500,207,125,33,0,YES
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeResponseHandler.java,336,414,6,0,3,336,329,84,336,329,56,500,207,125,34,0,YES
